MapID,Area Name,Persons 3 years and over enrolled in nursery school,Persons 3 years and over enrolled in kindergarten,Persons 3 years and over enrolled in grade 1-grade 4,Persons 3 years and over enrolled in grade 5-grade 8,Persons 3 years and over enrolled in grade 9-grade 12,Persons 3 years and over enrolled in college,Persons 3 years and over graduate or professional school,Persons 3 years and over not enrolled in school,"Families with income < $10,000","Families with income between $10,000-$14,999","Families with income between $15,000-$19,999","Families with income between $20,000-$24,999","Families with income between $25,000-$29,999","Families with income between $30,000-$34,999","Families with income between $35,000-$39,999","Families with income between $40,000-$44,999","Families with income between $45,000-$49,999","Families with income between $50,000-$59,999","Families with income between $60,000-$74,999","Families with income between $75,000-$99,999","Families with income between $100,000-$124,999","Families with income between $125,000-$149,999","Families with income between $150,000-$199,999",Number of persons 25+ yrs in 7th grade,Number of persons 25+ yrs in 8th grade,Number of persons 25+ yrs in 9th grade,Number of persons 25+ yrs in 10th grade,Number of persons 25+ yrs in 11th grade,"Number of persons 25+ yrs in 12th grade, no diploma",Number of persons 25+ yrs with regular high school diploma,Number of persons 25+ yrs with GED or alternative credential,"Number of persons 25+ yrs with some college, less than 1 year","Number of persons 25+ yrs with some college, 1 or more years, no degre",Number of persons 25+ yrs with associate's degree,Number of persons 25+ yrs with bachelor's degree,Number of persons 25+ yrs with master's degree,Number of persons 25+ yrs with professional school degree,Number of persons 25+ yrs with doctorate degree,"Workers 16+ years in management, business, science,arts occupations",Workers 16 years and over in service occupations,Workers 16 years and over in sales and office occupations,"Workers 16+ years in natural resources, construction, maint occupation","Workers 16 years and over in production, transport, material moving",Workers 16 years and over in armed forces
,Bronx,23947,21609,83849,79880,86161,94052,17080,985787,35225,23720,24197,19963,19090,18272,17132,15640,12432,25333,28574,32035,21641,11592,12574,10699,28803,28468,32616,37929,30605,209088,46978,37204,125066,65180,115670,47967,9418,6494,144182,191400,136325,40948,63849,159
,Brooklyn,49790,40067,131438,124569,128495,145577,42479,1855843,37298,30105,29687,30995,27212,27772,26197,23474,20755,37999,53557,66113,50276,33268,39957,12881,31716,38079,33024,38759,62721,388785,71553,56189,186789,111304,380135,186559,43830,18766,485728,272960,256264,73350,101034,454
,Manhattan,24643,13280,51177,47922,47889,94299,55373,1268070,17678,12635,12512,11104,10969,10774,9864,8283,7893,14666,18642,25910,21573,18517,27586,6398,17393,17398,18172,19884,22627,130399,26208,27337,96615,48338,397987,230186,92348,43628,535353,122447,177849,19562,33537,100
,Queens,33816,26914,103015,100419,104892,141411,38083,1705271,21011,15489,19301,22165,22352,22849,22038,22826,19417,39790,52794,72045,54644,38138,44517,10020,29904,35243,27038,25214,52512,396827,64401,61810,181528,133147,325374,142222,30052,15658,370186,271987,258934,90356,118481,389
,Staten Island,6861,5614,23058,23802,25107,27643,6847,340693,6557,2713,3358,3474,2943,3665,3417,3477,3257,6977,10806,16176,15131,11924,15676,1286,3320,3720,4558,5641,7617,88581,14430,17444,39802,25724,62620,32433,7490,2942,84915,40431,48783,18262,16813,83
,New York City,139057,107484,392537,376592,392544,502982,159862,6155664,117769,84662,89055,87701,82566,83332,78648,73700,63754,124765,164373,212279,163265,113439,140310,41284,111136,122908,115408,127427,176082,1213680,223570,199984,629800,383693,1281786,639367,183138,87488,1620364,899225,878155,242478,333714,1185
401,Airport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Allerton-Pelham Gardens,311,431,1286,1646,1904,1719,587,23457,261,91,209,374,306,254,305,155,215,656,698,1013,811,582,724,157,616,495,326,439,761,4970,999,1020,2889,2031,3351,1882,316,412,4639,3449,3565,1152,1197,0
501,Annadale-Huguenot-Prince's Bay-Eltingville,507,290,1095,1202,1453,1399,452,21433,191,86,142,119,125,175,209,235,215,354,744,1057,1108,889,1290,93,204,74,298,240,297,5906,804,1392,2441,1388,4406,2125,498,216,6303,1926,3081,1432,755,0
502,Arden Heights,529,254,1239,1490,1068,1585,282,19402,132,128,91,109,68,337,376,290,138,508,813,727,956,710,1183,84,95,83,258,299,273,5045,914,867,2857,1507,3833,1862,197,91,5409,1929,2955,955,1016,0
